日期时间,代码,中文名称,英文名称,交易类型,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,买一,卖一
20250812135504.0,2423,贝壳－Ｗ,BEKE-W,,46.38,-0.48,-1.02433,46.86,46.86,47.38,46.06,3111800,144132961,46.36,46.38
20250812135405.0,2425,澳亚集团,AUSTASIA GROUP,,2.0,0.54,36.9863,1.46,1.47,2.19,1.47,3440387,6692311,1.99,2.0
20250812133831.0,2427,GUANZE MEDICAL,GUANZE MEDICAL,,0.52,0.0,0.0,0.52,0.52,0.52,0.52,240000,124800,0.51,0.53
20250812135412.0,2429,友宝在线,UBOX ONLINE,,3.23,0.08,2.53968,3.15,3.15,3.35,3.12,12840000,41847030,3.22,3.23
20250812135443.0,2431,佑驾创新,MINIEYE,,23.44,-0.16,-0.67797,23.6,23.86,23.86,23.28,193200,4540668,23.36,23.46
20250812135455.0,2432,越疆,DOBOT,,52.45,-0.15,-0.28517,52.6,52.65,52.95,52.0,921600,48309097,52.45,52.5
20250812134723.0,2433,中天湖南集团,ZT HN GROUP,,0.097,0.002,2.10526,0.095,0.094,0.097,0.093,3028000,290872,0.097,0.098
20250812090215.0,2436,凌雄科技,LX TECHNOLOGY,,2.84,0.0,0.0,2.84,0.0,0.0,0.0,0,0,2.84,0.0
20250812135504.0,2438,出门问问,MOBVOI,,0.95,0.04,4.3956,0.91,0.96,0.99,0.91,17213000,16453115,0.93,0.94
20250812135435.0,2439,中宝新材,CH TREASURES NM,,0.405,-0.02,-4.70588,0.425,0.425,0.465,0.395,5906000,2574660,0.395,0.405
20250812135407.0,2440,迷策略,MEMESTRATEGY,,4.5,0.27,6.38298,4.23,4.23,4.63,4.13,3070213,13612760,4.48,4.51
20250812130537.0,2442,怡俊集团控股,EASY SMART GP,,3.15,-0.13,-3.96342,3.28,3.3,3.3,2.93,36000,112780,3.1,3.24
20250812135427.0,2443,汽车街,AUTOSTREETS,,4.28,-0.04,-0.92593,4.32,4.36,4.39,4.27,4236600,18359138,4.27,4.28
20250812085500.0,2448,恒宇集团,SPACE GROUP,,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0,0,0.0,0.0
20250812133629.0,2450,淮北绿金股份,HUAIBEI GD CO,,2.63,-0.07,-2.59259,2.7,2.64,2.64,2.63,24000,63150,2.63,2.69
20250812135146.0,2451,绿源集团控股,LUYUAN GP HLDG,,8.26,0.02,0.24272,8.24,8.29,8.3,8.23,36500,301375,8.24,8.28
20250812135416.0,2453,美中嘉和,CONCORD HC GP,,5.56,-0.07,-1.24334,5.63,5.64,5.67,5.55,4547000,25486846,5.56,5.57
