日期,开盘,收盘,最高,最低,成交量,MA5,MA10,MA20,MA30,MA60,MA120,EMA12,EMA26,VOLUME_MA5,VOLUME_MA10,VOLUME_MA20,MACD_DIF,MACD_DEA,MACD_HIST,DAILY_KDJ_K,DAILY_KDJ_D,DAILY_KDJ_J,RSI,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER,ATR,CCI,BBI,WR,MTM,OBV,WEEKLY_KDJ_K,WEEKLY_KDJ_D,WEEKLY_KDJ_J
2023-09-04,1862.6,1866.0,1879.94,1853.53,23871.0,1854.276,1830.963,1832.8265,1845.2703333333336,1784.942,1758.8870833333333,1839.4007358974584,1827.8058188322425,20119.6,23309.8,20976.85,11.594917065216125,9.423992922746669,4.341848284938912,64.88383760812225,57.55317553127027,79.54516176182622,64.80013398838767,1899.0102156867713,1832.8265,1766.6427843132285,32.83428571428572,74.32171854188337,1843.131666666667,-25.354085603112782,37.950000000000045,-479222.1499999999,,,
2023-09-01,1852.83,1851.05,1865.47,1846.03,13145.0,1848.07,1823.463,1833.923,1842.1086666666663,1781.642,1757.9204166666666,1834.5645060606328,1824.750284338822,23555.8,22813.9,20977.9,9.814221721811007,8.881261887129302,1.8659196693634144,60.00279921373976,53.88784449284429,72.23270865553071,63.79557852426069,1903.080666424376,1833.923,1764.7653335756238,31.98428571428571,41.686589706808846,1840.038125,-36.988326848249,31.049999999999955,-503093.1499999999,,,
2023-08-31,1860.0,1847.0,1860.0,1841.01,14820.0,1842.856,1818.6169999999995,1836.044,1839.4503333333337,1778.3061666666665,1757.2451666666668,1831.5671435262025,1822.6463070859277,24693.0,23201.7,21549.35,8.92083644027457,8.648021928458874,0.5456290236313919,58.49836224473415,50.83036713239655,73.83435246940935,53.232222774738936,1909.858499616853,1836.044,1762.229500383147,33.309999999999995,24.455814945101302,1838.2742708333333,-40.140077821011616,34.01999999999998,-516238.1499999999,,,
2023-08-30,1867.9,1856.0,1868.0,1843.66,19812.0,1836.716,1816.722,1837.6175,1835.3503333333333,1775.306,1756.607,1828.761169621876,1820.6980116528016,26940.0,23448.7,21885.5,8.063157969073245,8.579818300504948,-1.0333206628634066,57.817582277607045,46.99636957622775,79.46000768036563,45.92449592449593,1913.7215425996028,1837.6175,1761.5134574003969,35.63357142857142,34.59054897046597,1834.0421875,-33.13618677042796,53.0,-501418.1499999999,,,
2023-08-29,1828.0,1851.33,1869.08,1828.0,28950.0,1820.316,1813.122,1838.8175,1830.917,1772.1226666666666,1756.0428333333334,1823.8086550076712,1817.873852585026,26960.0,22785.9,21820.35,5.93480242264468,8.708983383362874,-5.548361921436388,53.294466801624544,41.5857632255381,76.71187395379744,42.00894505765047,1916.8737957102255,1838.8175,1760.7612042897742,35.89357142857143,18.388797963265723,1827.3325,-36.77042801556421,17.329999999999927,-521230.1499999999,,,
2023-08-28,1898.58,1834.97,1898.58,1831.88,41052.0,1807.65,1809.287,1840.701,1826.6326666666669,1769.1105,1755.6745833333334,1818.8047740999752,1815.197360791828,26500.0,21372.7,21334.4,3.6074133081467608,9.40252862354242,-11.59023063079132,48.32691421021892,35.73141143749488,73.51791975566702,37.9124017045205,1921.787697435861,1840.701,1759.6143025641395,34.53357142857143,24.003336866303,1821.30125,-51.90483249332934,-40.02999999999997,-550180.1499999999,,,
2023-08-25,1808.79,1824.98,1837.77,1806.01,18831.0,1798.8560000000002,1806.0899999999997,1842.9815000000003,1823.1326666666664,1765.793,1755.5335000000002,1815.8656421181524,1813.6155496551744,22072.0,19640.6,21550.75,2.2500924629778183,10.851307452391335,-17.202429978827034,47.24134407797426,29.433660051132858,82.85671213165709,35.67429793819123,1925.9335800856047,1842.9815000000003,1760.029419914396,31.39285714285716,-37.84901818866528,1815.6383333333335,-59.30922027868362,-65.29999999999995,-591232.1499999999,,,
2023-08-24,1779.62,1816.3,1828.0,1775.0,26055.0,1794.378,1806.9919999999995,1846.5825,1820.7333333333331,1762.525,1755.5586666666668,1814.2084861396347,1812.7063936275883,21710.4,20436.1,22560.1,1.502092512046147,13.001611199744712,-22.99903737539713,30.30949728109195,20.52981803771215,49.86885576785154,32.183589601514484,1932.446010263319,1846.5825,1760.718989736681,31.050714285714303,-71.17401997691105,1813.4842708333333,-65.74266231841091,-73.70000000000005,-610063.1499999999,,,
2023-08-23,1797.0,1774.0,1800.0,1770.08,19912.0,1796.7279999999998,1812.862,1847.6690000000003,1818.1366666666663,1760.0581666666667,1755.7439166666668,1813.8282108922956,1812.4189051177957,19957.4,19674.2,22274.35,1.409305774500126,15.876490871669352,-28.934370194338452,9.861103108512088,15.63997841602226,-1.6966475065082562,22.40185977703804,1932.4623490192305,1847.6690000000003,1762.8756509807702,29.19714285714287,-124.3327125148724,1812.5967708333333,-97.1269422456757,-113.93000000000006,-636118.1499999999,,,
2023-08-22,1800.99,1788.0,1802.56,1771.02,26650.0,1805.928,1824.49,1850.3964999999996,1816.13,1758.6415000000002,1756.0750833333334,1821.069703781804,1815.492417527219,18611.8,19535.3,22259.3,5.577286254585033,19.49328714596166,-27.832001782753252,13.092036209767755,18.529416069777344,2.2172764897485777,23.981900452488645,1928.4541192781371,1850.3964999999996,1772.338880721862,29.881428571428582,-126.43551037769856,1818.4561458333335,-87.46863468634685,-105.47000000000004,-616206.1499999999,,,
