报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2005-09-30,,-1345.39万,3303.87万,-8055.40万,3406.14万,False,,,5.09亿,856.25万,1050.03万,5.28亿,4.05亿,3615.03万,2887.37万,2463.89万,4.95亿,3303.87万,,798.15万,False,62.17万,False,1238.85万,2099.17万,7299.72万,2854.85万,False,False,1.02亿,-8055.40万,,600.00万,False,2.01亿,False,2.07亿,1.44亿,2833.86万,False,False,1.73亿,3406.14万,False,-1345.39万,False,False,,,4345.05万,-40.42万,1904.62万,15.66万,162.78万,-71.23万,-3.03万,False,739.06万,25.88万,False,False,-2641.76万,-2917.44万,1652.37万,False,3303.87万,,False,,2.30亿,2.43亿,-1345.39万
2005-06-30,,-1555.61万,3670.45万,-4804.56万,-421.50万,False,,,3.25亿,297.44万,699.31万,3.35亿,2.42亿,2595.01万,1747.79万,1294.53万,2.98亿,3670.45万,,798.15万,3.10万,1217.34万,False,2018.59万,3974.69万,2848.45万,848.45万,False,False,6823.15万,-4804.56万,,False,False,1.57亿,False,1.57亿,1.36亿,2561.50万,False,False,1.61亿,-421.50万,False,-1555.61万,False,False,,,3021.54万,14.39万,1259.08万,10.44万,103.41万,2.02万,-3.03万,False,466.70万,-300.00,False,False,-3670.85万,-2404.85万,4724.67万,False,3670.45万,,False,,2.28亿,2.43亿,-1555.61万
2005-03-31,,-9142.59万,-2188.48万,-2189.49万,-4764.62万,False,,,1.12亿,61.74万,216.08万,1.15亿,1.08亿,1263.37万,1058.12万,577.15万,1.37亿,-2188.48万,,False,False,False,False,False,False,2189.49万,False,False,False,2189.49万,-2189.49万,,False,False,4050.00万,False,4050.00万,6710.00万,2104.62万,False,False,8814.62万,-4764.62万,False,-9142.59万,False,False,,,1072.77万,False,620.77万,5.22万,49.99万,-3.27万,False,False,199.87万,False,False,False,-2970.17万,-2908.20万,1780.20万,False,-2188.48万,,False,,1.52亿,2.43亿,-9142.59万
2004-12-31,,2825.90万,4988.17万,-1.23亿,1.01亿,False,,,4.98亿,1033.56万,534.55万,5.13亿,3.55亿,4470.35万,3800.79万,2551.03万,4.63亿,4988.17万,,569.00万,708.55万,1546.47万,False,False,2824.02万,1.21亿,2969.75万,False,23.91万,1.51亿,-1.23亿,,4627.97万,False,2.87亿,False,3.34亿,1.96亿,3615.38万,False,False,2.32亿,1.01亿,False,2825.90万,False,False,,,6184.70万,-285.61万,2384.21万,21.32万,377.87万,-1040.45万,29.50万,False,673.64万,-968.31万,False,False,-3879.89万,-817.65万,2199.46万,False,4988.17万,,False,,2.43亿,2.15亿,2825.90万
2004-09-30,,-212.08万,3019.69万,-1.22亿,9010.05万,False,,,3.70亿,412.00万,440.12万,3.78亿,2.54亿,3200.97万,3432.97万,2790.81万,3.48亿,3019.69万,,569.00万,False,9700.00,False,False,569.97万,9842.04万,2969.75万,False,False,1.28亿,-1.22亿,,4634.90万,False,2.74亿,False,3.21亿,1.96亿,3422.94万,False,38.91万,2.31亿,9010.05万,False,-212.08万,False,False,,,3215.49万,263.36万,1723.30万,16.10万,264.91万,-39.08万,1.05万,False,456.78万,-259.76万,False,False,-1578.25万,555.29万,-1718.69万,False,3019.69万,,False,,2.13亿,2.15亿,-212.08万
2004-06-30,,-5000.40万,1968.69万,-1.08亿,3824.83万,False,,,2.39亿,314.94万,255.82万,2.44亿,1.69亿,2004.04万,1751.09万,1845.35万,2.25亿,1968.69万,,False,False,1240.27万,False,False,1240.27万,9064.43万,2969.75万,False,False,1.20亿,-1.08亿,,False,False,2.29亿,False,2.29亿,1.58亿,3242.17万,False,False,1.91亿,3824.83万,False,-5000.40万,False,False,,,2154.67万,263.36万,1123.27万,10.88万,216.85万,-33.13万,1.05万,False,240.40万,False,False,False,-2951.17万,-1875.37万,2724.68万,False,1968.69万,,False,,1.65亿,2.15亿,-5000.40万
2004-03-31,,-5066.66万,-2934.91万,-1.10亿,8909.58万,False,,,8823.52万,194.76万,134.80万,9153.08万,8754.10万,915.81万,980.21万,1437.86万,1.21亿,-2934.91万,,False,False,8700.00,False,False,8673.08,8072.45万,2969.75万,False,False,1.10亿,-1.10亿,,False,False,1.64亿,False,1.64亿,6512.00万,994.42万,False,False,7506.42万,8909.58万,False,-5066.66万,False,False,,,864.24万,172.65万,542.99万,5.44万,189.69万,-5.69万,False,False,87.46万,False,False,False,-2809.10万,-1778.01万,-305.54万,False,-2934.91万,,False,,1.64亿,2.15亿,-5066.66万
2003-12-31,,-7032.07万,2767.10万,-1.11亿,1347.00万,False,,,2.99亿,76.21万,2401.81万,3.24亿,2.20亿,2999.92万,2929.05万,1668.06万,2.96亿,2767.10万,,False,False,265.71万,False,3000.00万,3265.71万,1.18亿,1980.00万,False,600.00万,1.44亿,-1.11亿,,2061.74万,False,2.35亿,234.23万,2.58亿,2.22亿,2269.97万,False,False,2.45亿,1347.00万,False,-7032.07万,False,False,,,3819.42万,91.91万,1664.80万,19.14万,111.99万,-8.90万,False,False,24.95万,-132.73万,False,False,-3662.20万,-1530.66万,2480.99万,False,2767.10万,,False,,2.15亿,2.85亿,-7032.07万
2003-09-30,,-4435.36万,1626.07万,-5887.68万,-173.74万,False,,,2.27亿,76.84万,2181.31万,2.49亿,1.54亿,2197.69万,2480.20万,3247.27万,2.33亿,1626.07万,,False,False,74.93万,False,5000.97万,5075.90万,8917.63万,1980.00万,False,65.96万,1.10亿,-5887.68万,,False,False,2.34亿,182.88万,2.36亿,2.16亿,2176.81万,False,8100.00,2.38亿,-173.74万,False,-4435.36万,False,False,,,2596.07万,118.00万,1233.24万,13.70万,29.02万,-9.22万,False,False,47.09万,-132.71万,False,False,-379.40万,-1481.73万,-327.14万,False,1626.07万,,False,,2.41亿,2.85亿,-4435.36万
2003-06-30,,-5538.64万,492.24万,-5379.91万,-650.97万,False,,,1.42亿,76.84万,1194.09万,1.54亿,9941.35万,1525.57万,1447.73万,2035.97万,1.50亿,492.24万,,False,False,74.10万,False,9700.00,75.07万,5454.98万,False,False,False,5454.98万,-5379.91万,,False,False,1.73亿,115.80万,1.74亿,1.60亿,2087.32万,False,4600.00,1.81亿,-650.97万,False,-5538.64万,False,False,,,1765.36万,110.84万,796.96万,8.71万,19.39万,False,-8.35万,False,13.21万,-89.31万,False,False,-47.32万,-2996.98万,989.18万,False,492.24万,,False,,2.30亿,2.85亿,-5538.64万
