日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MACD_DIF,MACD_DEA,MACD_HIST,DAILY_KDJ_K,DAILY_KDJ_D,DAILY_KDJ_J,WEEKLY_KDJ_K,WEEKLY_KDJ_D,WEEKLY_KDJ_J,RSI,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER,BBI,VOLUME_MA5,VOLUME_MA10,ATR
2023-10-23,48.76,45.97,48.99,45.59,16307,76427171.0,6.97,-5.7,-2.78,0.8,-1.0559753564634915,-0.6332446119039291,-0.8454614891191252,10.14074897408146,16.265119742835072,-2.1079925634257677,19.454770950231367,19.960118094383205,18.444076661927696,28.33787465940054,54.45291764896819,50.808499999999995,47.164082351031794,49.29083333333334,12903.2,15773.8,1.850714285714286
2023-10-20,47.81,48.75,49.38,47.79,13003,63296154.0,3.3,1.14,0.55,0.64,-0.7781225829293206,-0.5275619257640384,-0.5011213143305644,12.79995594843186,19.32730512721188,-0.2547424091281769,24.6367018798925,20.212791666459125,33.484522306759246,32.67871170463472,53.890632441427805,51.032500000000006,48.17436755857221,49.984375,13871.4,15325.2,1.7007142857142858
2023-10-19,48.55,48.2,49.4,48.2,10440,50750571.0,2.45,-1.65,-0.81,0.52,-0.6952178053212776,-0.4649217614727177,-0.4605920876971198,10.74922969729567,22.59097971660189,-12.934270341316768,24.6367018798925,20.212791666459125,33.484522306759246,37.76325344952795,53.7854919211205,51.127500000000005,48.46950807887951,50.36729166666667,14290.0,15099.2,1.7235714285714283
2023-10-18,50.25,49.01,50.59,49.0,11460,56560372.0,3.17,-2.39,-1.2,0.57,-0.5232889029150698,-0.4073477505105777,-0.231882304808984,16.123844545943502,28.511854726255,-8.652175814679488,24.6367018798925,20.212791666459125,33.484522306759246,41.345427059712776,53.541400967402446,51.2615,48.98159903259755,50.696354166666666,18749.6,15568.1,1.7035714285714287
2023-10-17,50.19,50.21,51.2,49.97,13306,67304338.0,2.46,0.42,0.21,0.66,-0.3787063561651038,-0.3783624624094547,-0.0006877875112982,24.073909995649053,34.705859816410744,2.81001035412568,24.6367018798925,20.212791666459125,33.484522306759246,46.968472109943406,53.39445726085581,51.3755,49.35654273914419,51.11854166666667,18875.4,15952.9,1.6571428571428568
2023-10-16,52.2,50.0,52.2,49.86,21148,106694924.0,4.49,-4.09,-2.13,1.04,-0.3108398131327448,-0.3782764889705424,0.1348733516755952,31.77918182515673,40.02183472679159,15.293876021887016,24.6367018798925,20.212791666459125,33.484522306759246,44.233807266982616,53.40369685434203,51.3695,49.335303145657974,51.41010416666667,18644.4,16417.6,1.642857142857142
2023-10-13,52.97,52.13,52.97,51.65,15096,78810034.0,2.49,-1.66,-0.88,0.74,-0.1983143009258796,-0.3951356579299918,0.3936427140082242,45.93609947040835,44.14316117760902,49.52197605600702,22.658865136554272,18.00083655974244,31.974922290177943,57.279029462738315,53.45888890812627,51.345000000000006,49.231111091873736,51.534375,16779.0,16973.7,1.6185714285714272
2023-10-12,50.46,53.01,53.47,50.0,32738,170619524.0,6.94,6.02,3.01,1.62,-0.2686789846047475,-0.4443409971810197,0.3513240251525446,41.08460033343202,43.24669203120935,36.760416937877366,22.658865136554272,18.00083655974244,31.974922290177943,60.86556169429099,53.40510792845947,51.235,49.06489207154053,51.35093749999999,15908.4,17247.8,1.5842857142857132
2023-10-11,50.7,50.0,51.31,49.91,12089,61119755.0,2.79,-0.48,-0.24,0.6,-0.4441818501787935,-0.4882565003250878,0.0881493002925886,22.779782705661823,44.32773788009801,-20.316127643210564,22.658865136554272,18.00083655974244,31.974922290177943,44.554455445544534,53.15767094693344,51.1525,49.14732905306655,51.0684375,12386.6,15298.6,1.4021428571428562
2023-10-10,50.88,50.24,52.3,50.2,12151,62113144.0,4.14,-0.93,-0.47,0.6,-0.3552537716906983,-0.4992751628616613,0.2880427823419261,33.04185450962051,55.101715467316104,-11.07786740577069,22.658865136554272,18.00083655974244,31.974922290177943,43.63636363636364,53.13779653753627,51.206500000000005,49.27520346246374,51.350416666666675,13030.4,15145.3,1.3871428571428557
