日期,开盘,收盘,最高,最低,成交量,成交额,trend_sma_20,trend_sma_50,trend_ema_12,trend_ema_26,trend_macd,trend_macd_signal,trend_macd_hist,momentum_rsi_14,momentum_stoch_k,momentum_stoch_d,momentum_stoch_j,volatility_bbands_upper,volatility_bbands_middle,volatility_bbands_lower,volatility_atr_14,volume_obv,volume_ad,volume_vwap
2025-02-07,40.7,42.45,43.05,40.55,282921472,11944324864.0,36.11749999999998,33.072999999999986,38.31922090185879,36.14326969086243,2.1759512109963595,1.656092226271341,0.5198589847250186,78.17764535432609,95.17364840673116,93.22408053365888,99.07278415287578,41.5876256841138,36.11749999999998,30.64737431588615,1.5554761708246367,12344874346.0,864870994.778628,18.038155151669827
2025-02-10,42.7,43.75,43.95,42.15,178623301,7739085568.0,36.66499999999998,33.37699999999999,39.154725378495904,36.706731195242995,2.4479941832529093,1.8144726176676549,0.6335215655852546,80.40969088520298,96.53764578233115,95.54659280108694,98.5197517448196,42.84343831400803,36.66499999999998,30.486561685991923,1.5729421586228771,12523497647.0,1003800228.8897388,18.060830530368857
2025-02-11,44.0,42.55,44.3,42.25,210014328,9050256128.0,37.104999999999976,33.65999999999999,39.67707532026576,37.13956592152129,2.5375093987444757,1.959079973883019,0.5784294248614568,72.98842472442372,91.4136061167137,94.374966768592,85.49088481295706,43.63385135379895,37.104999999999976,30.576148646201,1.607017718721243,12313483319.0,855253509.0848601,18.087175068920576
2025-02-12,43.9,44.1,44.55,42.65,196220080,8599863040.0,37.63249999999998,33.99799999999998,40.35752527099411,37.65515363103823,2.702371639955878,2.107738307097591,0.5946333328582871,76.0616786389144,92.0625585949968,93.33793683134722,89.5118021222959,44.61614339009385,37.63249999999998,30.648856609906105,1.635087881669726,12509703399.0,958527235.4006504,18.112461155362727
2025-02-13,43.9,41.65,44.6,41.2,382423056,16397650688.0,38.07499999999998,34.264999999999986,40.55636753699502,37.951068176887254,2.6052993601077645,2.2072505176996255,0.398048842408139,63.720734799801406,83.23857239294836,88.90491236821963,71.90589244240581,44.897426254639974,38.07499999999998,31.25257374535999,1.761153032979031,12127280343.0,677333811.8712378,18.159141519553497
2025-02-14,42.4,44.7,44.9,42.05,349956080,15263400192.0,38.62249999999999,34.60199999999999,41.1938494543804,38.450989052673386,2.742860401707013,2.314372494501103,0.42848790720591,70.20234606308362,88.41690607664259,87.90601235486258,89.4386935202026,45.72063179646578,38.62249999999999,31.524368203534195,1.8674992449091,12477236423.0,978173249.0642211,18.204152017038226
2025-02-17,45.0,45.15,45.45,43.55,273310080,12154788096.0,39.19999999999998,34.94999999999999,41.80248799986034,38.94721208580869,2.855275914051653,2.4225531784112126,0.4327227356404401,71.02486761256156,88.9599747471218,86.87181773890426,93.1362887635569,46.447482321468705,39.19999999999998,31.952517678531255,1.8698207274155936,12750546503.0,1165174882.7484307,18.24033230648188
2025-02-18,45.15,48.4,48.4,44.7,325734160,15438513152.0,39.90249999999998,35.346999999999994,42.81748984603567,39.64741859797101,3.170071248064666,2.572056792341903,0.5980144557227627,76.14615489251764,98.46077990010087,91.94588690795509,111.49056588439244,47.825597563453385,39.90249999999998,31.97940243654658,2.0005478183144794,13076280663.0,1490909042.7484307,18.28730185749623
2025-02-19,48.0,49.45,49.5,47.0,243337561,11841545728.0,40.62749999999998,35.754,43.83787602356865,40.37353573886204,3.4643402847066085,2.750513490814844,0.7138267938917644,77.5280800109288,98.95125663585414,95.45733709435892,105.93909571884456,49.22973662776147,40.62749999999998,32.0252633722385,2.0362229741491595,13319618224.0,1724513101.3084314,18.324087870842504
2025-02-20,49.45,49.15,50.9,48.0,275542160,13621160960.0,41.34999999999998,36.155,44.65512586609655,41.02364420265003,3.6314816634465146,2.9267071253411783,0.7047745381053363,76.17030304007503,95.60659110240748,97.67287587945415,91.47402154831414,50.26122887148576,41.34999999999998,32.438771128514205,2.097921333138505,13044076064.0,1667504378.5498106,18.36659388958881
2025-02-21,50.05,51.7,51.95,49.7,308362592,15770408192.0,42.13999999999998,36.6,45.73895265592785,41.8144853728241,3.924467283103745,3.1262591568936915,0.7982081262100533,79.46272727018592,94.98701241591432,96.5149533847253,91.93113047829232,51.75236703419104,42.13999999999998,32.52763296580892,2.148069809342898,13352438656.0,1907341950.1053665,18.41672951285067
2025-02-24,52.2,51.6,52.35,51.05,208345620,10765241344.0,42.954999999999984,37.034,46.640652247323565,42.539338308170464,4.101313939153101,3.3212701133455735,0.7800438258075277,79.00175108435415,93.291011939426,94.6282051525826,90.6166255131128,52.868722812344586,42.954999999999984,33.04127718765538,2.0874933943898344,13144093036.0,1875288777.797675,18.451085204451218
2025-02-25,49.8,53.2,53.9,49.8,332349376,17422343168.0,43.889999999999986,37.479,47.64978267081225,43.32901695200969,4.320765718802562,3.521169234436971,0.7995964843655909,80.90996242622126,95.93972407970624,94.73924947834888,98.34067328242102,53.96370835392808,43.889999999999986,33.816291646071896,2.231243866219132,13476442412.0,2094153001.0171876,18.506784266325216
2025-02-26,54.25,56.3,56.8,53.1,395453824,21844954880.0,44.86249999999998,37.986,48.98058533684114,44.28983051112008,4.690754825721058,3.755086352693788,0.9356684730272696,83.95274276964133,95.5336617405584,94.92146591989687,96.75805338188144,55.75221418357719,44.86249999999998,33.97278581642278,2.3361550186320508,13871896236.0,2382727413.1252956,18.578878586967377
2025-02-27,56.6,53.1,58.7,51.4,842011808,45631671296.0,45.66249999999998,38.43899999999999,49.61434143886558,44.94243565844451,4.6719057804210635,3.938450238239243,0.7334555421818201,71.31628133590203,86.69849690539358,92.72396090855274,74.64756889907525,56.504357543797695,45.66249999999998,34.820642456202265,2.6907153744440473,13029884428.0,1932885488.3033783,18.72730556949321
2025-02-28,55.75,51.85,55.75,50.65,667093152,34919755008.0,46.33999999999999,38.843999999999994,49.95828890980934,45.45410709115233,4.50418181865701,4.0515965543227965,0.4525852643342132,67.0694956435867,75.26007326007337,85.83074396867512,54.11873184286986,56.94780844472602,46.33999999999999,35.73219155527396,2.8628071334123297,12362791276.0,1579718525.4798496,18.83862919125141
