日期,value
2025-04-20,42.56
2025-04-21,42.56
2025-04-22,45.04
2025-04-23,48.14
2025-04-24,48.9
2025-04-25,48.39
2025-04-26,48.39
2025-04-27,48.39
2025-04-28,48.24
2025-04-29,48.19
2025-04-30,50.73
2025-05-01,50.73
2025-05-02,53.93
2025-05-03,53.93
2025-05-04,53.93
2025-05-05,53.93
2025-05-06,52.36
2025-05-07,50.88
2025-05-08,51.59
2025-05-09,52.15
2025-05-10,52.15
2025-05-11,52.15
2025-05-12,51.39
2025-05-13,49.41
2025-05-14,51.19
2025-05-15,50.93
2025-05-16,51.8
2025-05-17,51.8
2025-05-18,51.8
2025-05-19,53.17
2025-05-20,55.66
2025-05-21,55.3
2025-05-22,54.03
2025-05-23,53.83
2025-05-24,53.83
2025-05-25,53.83
2025-05-26,52.1
2025-05-27,52.36
2025-05-28,52.56
2025-05-29,52.51
2025-05-30,51.75
2025-05-31,51.75
2025-06-01,51.75
2025-06-02,52.41
2025-06-03,54.03
2025-06-04,54.29
2025-06-05,55.1
2025-06-06,53.93
2025-06-07,53.93
2025-06-08,53.93
2025-06-09,55.0
2025-06-10,54.29
2025-06-11,54.95
2025-06-12,53.02
2025-06-13,52.77
2025-06-14,52.77
2025-06-15,52.77
2025-06-16,55.0
2025-06-17,54.85
2025-06-18,54.65
2025-06-19,53.88
2025-06-20,54.9
2025-06-21,54.9
2025-06-22,54.9
2025-06-23,55.71
2025-06-24,57.79
2025-06-25,57.54
2025-06-26,57.79
2025-06-27,59.88
2025-06-28,59.88
2025-06-29,59.88
2025-06-30,60.89
2025-07-01,60.89
2025-07-02,61.1
2025-07-03,59.01
2025-07-04,58.4
2025-07-05,58.4
2025-07-06,58.4
2025-07-07,58.21
2025-07-08,59.58
2025-07-09,58.31
2025-07-10,57.8
2025-07-11,58.26
2025-07-12,58.26
2025-07-13,58.26
2025-07-14,58.21
2025-07-15,58.56
2025-07-16,58.21
2025-07-17,57.04
2025-07-18,57.9
2025-07-19,57.9
2025-07-20,57.9
2025-07-21,58.67
2025-07-22,58.87
2025-07-23,59.33
2025-07-24,59.38
2025-07-25,58.31
2025-07-26,58.31
2025-07-27,58.31
2025-07-28,57.7
2025-07-29,56.18
2025-07-30,55.62
2025-07-31,53.99
2025-08-01,54.25
2025-08-02,54.25
2025-08-03,54.25
2025-08-04,55.42
2025-08-05,55.16
2025-08-06,54.89
2025-08-07,52.82
2025-08-08,52.21
2025-08-09,52.21
2025-08-10,52.21
2025-08-11,51.75
