报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其他应收款,存货,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,长期股权投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,长期应付款合计,其中：长期应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2005-12-31,,6.21亿,10.44亿,4.23亿,5.40亿,,,2.43亿,False,1.19亿,398.27万,1.15亿,8097.51万,697.20万,697.20万,1.63亿,False,2.43亿,6.15亿,,False,4968.84万,False,False,3.01亿,3.01亿,False,7413.02万,7413.02万,False,86.47万,False,346.87万,False,False,4.29亿,10.44亿,,2.24亿,False,False,1.56亿,1385.63万,1.42亿,2146.67万,False,719.82万,1004.92万,240.14万,False,False,240.14万,False,False,4.23亿,,False,26.00万,26.00万,False,False,False,False,26.00万,4.23亿,,1.75亿,1.94亿,False,False,4849.11万,1.23亿,5.40亿,8093.63万,6.21亿,10.44亿
2005-09-30,,5.87亿,9.73亿,3.85亿,5.13亿,,,2.30亿,False,1.21亿,319.61万,1.18亿,3037.38万,796.30万,796.30万,1.55亿,False,2.30亿,5.45亿,,False,5031.43万,False,False,2.81亿,2.81亿,False,9170.89万,9170.89万,False,87.44万,False,377.32万,False,False,4.28亿,9.73亿,,2.14亿,False,False,1.41亿,2365.12万,1.17亿,258.28万,False,601.85万,630.41万,1292.29万,False,False,1292.29万,False,False,3.85亿,,False,16.00万,16.00万,False,False,False,False,16.00万,3.85亿,,1.75亿,1.94亿,False,False,3560.62万,1.09亿,5.13亿,7477.25万,5.87亿,9.73亿
2005-06-30,,5.68亿,9.41亿,3.73亿,5.01亿,,,2.28亿,False,1.10亿,1466.42万,9501.55万,3741.35万,829.39万,829.39万,1.61亿,False,2.28亿,5.45亿,,False,4968.84万,False,False,2.60亿,2.60亿,False,8211.66万,8211.66万,False,92.66万,False,381.27万,False,False,3.96亿,9.41亿,,1.79亿,False,False,1.66亿,1769.89万,1.48亿,359.82万,False,675.48万,726.50万,818.00万,False,False,818.00万,False,False,3.73亿,,False,False,False,False,False,False,False,False,3.73亿,,1.75亿,1.94亿,False,False,3560.62万,9689.36万,5.01亿,6713.74万,5.68亿,9.41亿
2005-03-31,,5.61亿,8.49亿,2.88亿,4.84亿,,,1.52亿,False,1.18亿,663.20万,1.11亿,3395.09万,442.56万,442.56万,1.54亿,False,1.52亿,4.64亿,,False,4968.84万,False,False,2.63亿,2.63亿,False,6915.09万,6915.09万,False,97.88万,False,307.01万,False,False,3.85亿,8.49亿,,1.31亿,False,False,1.29亿,1291.15万,1.16亿,408.63万,False,778.36万,784.76万,688.15万,False,False,688.15万,False,False,2.88亿,,False,False,False,False,False,False,False,False,2.88亿,,1.75亿,1.94亿,False,False,3560.62万,7990.01万,4.84亿,7700.32万,5.61亿,8.49亿
2004-12-31,,5.71亿,8.69亿,2.98亿,4.96亿,,,2.43亿,False,8066.09万,314.04万,7752.04万,4098.57万,393.57万,393.57万,1.24亿,False,2.43亿,4.94亿,,False,4968.84万,False,False,2.61亿,2.61亿,False,6022.72万,6022.72万,False,103.10万,False,351.83万,False,False,3.76亿,8.69亿,,1.57亿,False,False,1.02亿,829.33万,9351.67万,776.31万,False,781.75万,1445.18万,790.15万,False,False,790.15万,False,False,2.98亿,,False,False,False,False,False,False,False,False,2.98亿,,1.75亿,1.94亿,False,False,3560.62万,9161.31万,4.96亿,7551.05万,5.71亿,8.69亿
2004-09-30,,5.41亿,8.15亿,2.73亿,4.66亿,,,2.13亿,False,1.02亿,540.99万,9684.05万,6632.91万,219.16万,219.16万,1.01亿,False,2.13亿,4.85亿,,False,4968.84万,False,False,2.56亿,2.56亿,False,1671.52万,1671.52万,False,108.32万,False,578.43万,False,False,3.29亿,8.15亿,,1.44亿,False,False,9480.50万,1333.35万,8147.14万,534.82万,False,698.92万,864.74万,1188.09万,False,False,1188.09万,False,False,2.73亿,,False,False,False,False,False,False,False,False,2.73亿,,1.75亿,1.94亿,False,False,2513.78万,7258.56万,4.66亿,7531.44万,5.41亿,8.15亿
2004-06-30,,4.87亿,7.81亿,2.94亿,4.56亿,,,1.65亿,False,1.09亿,827.28万,1.01亿,6482.30万,678.19万,678.19万,1.18亿,False,1.65亿,4.64亿,,False,4968.84万,False,False,2.47亿,2.47亿,False,1580.23万,1580.23万,False,114.71万,False,269.48万,False,False,3.17亿,7.81亿,,1.40亿,False,False,1.11亿,1003.21万,1.01亿,937.29万,False,869.25万,1382.75万,1057.60万,False,False,1057.60万,False,False,2.94亿,,False,False,False,False,False,False,False,False,2.94亿,,1.75亿,1.94亿,False,False,2513.78万,6259.38万,4.56亿,3041.06万,4.87亿,7.81亿
2004-03-31,,4.95亿,7.95亿,3.00亿,4.65亿,,,1.64亿,False,1.14亿,2035.18万,9393.36万,6622.56万,439.37万,439.37万,1.17亿,False,1.64亿,4.66亿,,False,4968.84万,False,False,2.51亿,2.51亿,False,2426.55万,2426.55万,False,120.15万,False,213.58万,False,False,3.29亿,7.95亿,,1.69亿,False,False,9693.34万,1048.51万,8644.84万,1218.89万,False,840.39万,506.78万,872.36万,False,False,872.36万,False,False,3.00亿,,False,False,False,False,False,False,False,False,3.00亿,,1.75亿,1.94亿,False,False,2513.78万,5006.20万,4.65亿,3003.81万,4.95亿,7.95亿
2003-12-31,,4.86亿,7.03亿,2.17亿,4.56亿,,,2.15亿,False,9075.58万,1362.73万,7712.85万,1719.17万,421.83万,421.83万,8858.63万,False,2.15亿,4.17亿,,False,1999.09万,False,False,2.46亿,2.46亿,False,1663.63万,1656.13万,7.50万,125.59万,False,260.46万,False,False,2.86亿,7.03亿,,6966.00万,False,False,8549.36万,1001.40万,7547.96万,684.75万,False,746.70万,810.78万,3926.28万,False,False,3926.28万,False,False,2.17亿,,False,False,False,False,False,False,False,False,2.17亿,,1.75亿,1.94亿,False,False,2513.78万,6248.68万,4.56亿,2991.89万,4.86亿,7.03亿
2003-09-30,,4.73亿,6.51亿,1.78亿,4.44亿,,,2.41亿,False,9146.09万,1276.44万,7869.65万,157.44万,293.29万,293.29万,5581.50万,False,2.41亿,3.95亿,,False,1999.09万,False,False,1.70亿,1.70亿,False,6310.15万,6310.15万,False,131.03万,False,199.43万,False,False,2.56亿,6.51亿,,6966.00万,False,False,7174.61万,533.50万,6641.11万,2.43万,False,597.29万,797.47万,2234.56万,False,False,2234.56万,False,False,1.78亿,,False,False,False,False,False,False,False,False,1.78亿,,1.75亿,1.94亿,False,False,1860.36万,5704.32万,4.44亿,2904.59万,4.73亿,6.51亿
2003-06-30,,4.59亿,6.20亿,1.61亿,4.36亿,,,2.30亿,False,9358.69万,1169.28万,8189.41万,149.15万,494.78万,494.78万,5249.42万,False,2.30亿,3.84亿,,False,3019.09万,False,False,1.69亿,1.69亿,False,3406.16万,3406.16万,False,92.54万,False,158.39万,False,False,2.35亿,6.20亿,,6966.00万,False,False,7205.11万,761.09万,6444.01万,2.43万,False,507.30万,1035.80万,306.99万,False,74.28万,232.71万,False,False,1.61亿,,False,False,False,False,False,False,False,False,1.61亿,,1.75亿,1.94亿,False,False,2328.78万,4412.02万,4.36亿,2346.90万,4.59亿,6.20亿
2003-03-31,,4.49亿,6.13亿,1.63亿,4.27亿,,,2.31亿,False,9522.59万,801.56万,8721.03万,138.62万,611.22万,611.22万,5341.07万,False,2.31亿,3.87亿,,False,3019.09万,False,False,1.68亿,1.68亿,False,2480.83万,2480.83万,False,96.89万,False,143.63万,False,False,2.25亿,6.13亿,,5900.00万,False,False,6748.10万,708.67万,6039.43万,4.13万,False,507.93万,556.59万,2528.82万,False,2256.37万,272.45万,False,False,1.63亿,,False,False,False,False,False,False,False,False,1.63亿,,1.09亿,2.59亿,False,False,2502.46万,3378.99万,4.27亿,2211.83万,4.49亿,6.13亿
2002-12-31,,4.68亿,6.37亿,1.69亿,4.43亿,,,2.85亿,False,7421.39万,994.35万,6427.04万,289.58万,566.87万,566.87万,5202.36万,False,2.85亿,4.21亿,,False,3019.09万,False,False,1.61亿,1.61亿,False,2284.36万,2284.36万,False,101.25万,False,134.20万,False,False,2.17亿,6.37亿,,5645.00万,False,False,9486.58万,1049.43万,8437.15万,194.57万,False,600.05万,570.97万,350.20万,False,False,350.20万,False,False,1.69亿,,False,False,False,False,False,False,False,False,1.69亿,,1.09亿,2.59亿,False,False,2502.46万,2665.06万,4.43亿,2506.52万,4.68亿,6.37亿
2002-09-30,,4.59亿,6.10亿,1.51亿,4.33亿,,,3.02亿,200.00万,7565.70万,1231.90万,6333.80万,71.41万,363.98万,363.98万,3962.48万,False,3.04亿,4.25亿,,False,68.11万,False,False,1.40亿,1.40亿,False,4295.45万,4295.45万,False,95.52万,False,99.38万,False,False,1.85亿,6.10亿,,4580.00万,False,False,5534.03万,1417.61万,4116.41万,5.12万,False,581.36万,851.60万,3445.09万,False,113.70万,3331.39万,False,False,1.51亿,,False,False,False,False,False,False,False,False,1.51亿,,1.09亿,2.59亿,False,False,1977.85万,4511.41万,4.33亿,2545.83万,4.59亿,6.10亿
2002-06-30,,4.47亿,5.79亿,1.32亿,4.28亿,,,3.37亿,False,8332.34万,663.75万,7668.59万,62.27万,746.53万,746.53万,3973.33万,False,3.37亿,4.69亿,,False,68.11万,False,False,7994.25万,7994.25万,False,2798.12万,2798.12万,False,99.62万,False,87.72万,False,False,1.10亿,5.79亿,,1934.00万,False,False,7657.05万,3728.50万,3928.55万,5.07万,False,529.61万,1076.31万,358.88万,False,137.77万,221.10万,168.00万,False,1.23亿,,894.00万,False,False,False,False,False,False,894.00万,1.32亿,,1.09亿,2.59亿,False,False,1977.85万,3950.03万,4.28亿,1936.10万,4.47亿,5.79亿
2001-12-31,,1.33亿,2.53亿,1.20亿,1.18亿,,,4363.47万,False,7100.99万,660.47万,6440.53万,30.92万,343.01万,343.01万,3680.78万,False,4363.47万,1.56亿,,False,False,False,False,6826.91万,6826.91万,False,2714.38万,2714.38万,False,104.44万,False,54.80万,False,False,9700.54万,2.53亿,,1969.00万,False,False,5933.53万,2929.90万,3003.62万,102.47万,False,505.78万,520.53万,326.84万,False,137.77万,189.07万,2059.00万,False,1.16亿,,437.00万,False,False,False,False,False,False,437.00万,1.20亿,,7410.43万,31.76万,False,False,1980.18万,2391.45万,1.18亿,1447.80万,1.33亿,2.53亿
2000-12-31,,9758.07万,2.36亿,1.39亿,8715.56万,,,3104.25万,False,6678.39万,77.78万,6600.61万,678.62万,1033.04万,1033.04万,3235.34万,False,3104.25万,1.50亿,,False,False,False,False,6018.02万,6018.02万,False,1550.71万,1550.71万,False,1081.89万,False,9.49万,False,False,8660.10万,2.36亿,,2022.00万,False,False,6112.93万,2323.00万,3789.93万,75.28万,False,450.18万,755.76万,1041.73万,False,942.40万,99.33万,1324.00万,False,1.18亿,,2059.00万,False,False,False,False,False,False,2059.00万,1.39亿,,7410.43万,False,False,False,1296.15万,8.98万,8715.56万,1042.52万,9758.07万,2.36亿
