报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2023-03-31,,-7.56亿,49.36亿,-7.09亿,-49.03亿,115.34亿,,,102.16亿,1.07亿,1.27亿,104.50亿,21.28亿,2.46亿,29.06亿,2.35亿,55.14亿,49.36亿,,False,1313.23万,2.69万,False,8.86万,1324.78万,7.21亿,False,False,64.71万,7.22亿,-7.09亿,,199.00万,199.00万,39.68亿,False,39.70亿,35.29亿,53.00亿,51.94亿,4324.08万,88.73亿,-49.03亿,-8073.79万,-7.56亿,122.90亿,115.34亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2022-12-31,,105.24亿,202.98亿,7.44亿,-105.71亿,122.90亿,,,348.06亿,5.37亿,9563.27万,354.39亿,47.40亿,7.20亿,93.75亿,3.07亿,151.41亿,202.98亿,,False,32.84亿,5000.00,False,87.91万,32.85亿,17.16亿,8.23亿,False,142.27万,25.41亿,7.44亿,,112.84亿,False,130.59亿,1.97亿,245.40亿,256.00亿,90.85亿,78.65亿,4.25亿,351.11亿,-105.71亿,5288.53万,105.24亿,17.66亿,122.90亿,,,311.08亿,9968.95万,5.04亿,1.49亿,136.70万,False,122.06万,9.01亿,7.22亿,-78.46亿,-9.10亿,2.34亿,-12.74亿,-82.94亿,49.00亿,False,202.98亿,,,122.90亿,17.66亿,105.24亿
2022-09-30,,49.35亿,117.35亿,6557.00万,-73.57亿,67.01亿,,,192.93亿,4.59亿,5251.58万,198.04亿,27.49亿,5.23亿,44.13亿,3.84亿,80.69亿,117.35亿,,False,12.18亿,5000.00,False,87.91万,12.19亿,10.25亿,1.27亿,False,24.02万,11.53亿,6557.00万,,112.84亿,False,38.10亿,1.78亿,152.72亿,182.79亿,41.97亿,31.31亿,1.54亿,226.30亿,-73.57亿,4.91亿,49.35亿,17.66亿,67.01亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2022-06-30,,24.89亿,70.64亿,5.93亿,-52.89亿,42.55亿,,,111.46亿,3.29亿,2081.38万,114.96亿,16.15亿,3.45亿,23.64亿,1.08亿,44.32亿,70.64亿,,False,11.75亿,5000.00,False,False,11.75亿,5.76亿,600.00万,False,6.58万,5.82亿,5.93亿,,False,False,33.32亿,7129.82万,34.03亿,66.55亿,19.45亿,13.27亿,9114.50万,86.91亿,-52.89亿,1.21亿,24.89亿,17.66亿,42.55亿,,,120.05亿,4210.69万,2.47亿,6643.78万,66.47万,False,-4000.00,9.01亿,5.74亿,-44.76亿,-2.87亿,3599.26万,-6.32亿,-38.30亿,24.16亿,False,70.64亿,,,42.55亿,17.66亿,24.89亿
2022-03-31,,4.59亿,38.37亿,-1.90亿,-32.20亿,22.26亿,,,56.66亿,5164.91万,1499.97万,57.33亿,5.93亿,1.57亿,10.46亿,1.00亿,18.96亿,38.37亿,,False,354.64万,8300.00,False,False,355.47万,1.93亿,False,False,False,1.93亿,-1.90亿,,False,False,11.98亿,6200.00,11.98亿,39.67亿,3.85亿,2.35亿,6662.42万,44.18亿,-32.20亿,3247.88万,4.59亿,17.66亿,22.26亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2021-12-31,,7.84亿,20.94亿,-1.38亿,-11.32亿,17.66亿,,,52.21亿,3.53亿,3757.57万,56.12亿,15.94亿,5.49亿,10.43亿,3.30亿,35.17亿,20.94亿,,7321.53万,7.96亿,8300.00,False,283.34万,8.72亿,10.09亿,False,False,132.56万,10.10亿,-1.38亿,,89.94亿,89.94亿,37.51亿,False,127.46亿,119.41亿,16.02亿,4.37亿,3.34亿,138.77亿,-11.32亿,-4103.79万,7.84亿,9.82亿,17.66亿,,,25.90亿,1038.16万,3.51亿,1.09亿,345.49万,24.69万,1965.35万,-7701.75万,17.13亿,-14.61亿,7.00亿,-9913.13万,-2007.41万,-25.82亿,8.37亿,False,20.94亿,,,17.66亿,9.82亿,7.84亿
2021-09-30,,2.30亿,13.80亿,-3.88亿,-7.50亿,12.12亿,,,33.68亿,2.99亿,3263.50万,37.00亿,10.75亿,4.14亿,5.86亿,2.46亿,23.20亿,13.80亿,,7321.53万,2.38亿,8300.00,False,283.34万,3.14亿,6.53亿,False,False,4971.21万,7.02亿,-3.88亿,,90.71亿,90.71亿,29.71亿,False,120.42亿,115.69亿,11.61亿,2.35亿,6326.04万,127.93亿,-7.50亿,-1172.31万,2.30亿,9.82亿,12.12亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2021-06-30,,-2.95亿,7.56亿,-2.85亿,-7.48亿,6.87亿,,,18.11亿,1.56亿,2610.55万,19.94亿,6.59亿,2.57亿,1.54亿,1.67亿,12.38亿,7.56亿,,7321.53万,1.05亿,False,False,283.34万,1.81亿,4.20亿,False,False,4537.78万,4.66亿,-2.85亿,,False,False,22.05亿,False,22.05亿,19.47亿,9.65亿,1.41亿,4138.63万,29.54亿,-7.48亿,-1805.72万,-2.95亿,9.82亿,6.87亿,,,2.47亿,150.08万,1.59亿,4174.16万,71.82万,False,-411.96万,-1.14亿,7.91亿,-1.50亿,-5657.05万,1.08亿,5677.20万,-1.00亿,-2.25亿,False,7.56亿,,,6.87亿,9.82亿,-2.95亿
2021-03-31,,1.97亿,3.55亿,-9951.62万,-6688.40万,11.79亿,,,7.59亿,1.27亿,1219.82万,8.98亿,2.78亿,1.30亿,5197.07万,8347.10万,5.43亿,3.55亿,,False,False,False,False,False,False,9888.16万,False,False,63.46万,9951.62万,-9951.62万,,False,False,12.97亿,False,12.97亿,8.14亿,5.35亿,False,1599.38万,13.64亿,-6688.40万,794.40万,1.97亿,9.82亿,11.79亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2020-12-31,,-33.60亿,6.96亿,-5.05亿,-35.22亿,9.82亿,,,34.32亿,2.29亿,8674.57万,37.48亿,16.77亿,4.92亿,6.60亿,2.22亿,30.51亿,6.96亿,,4211.05万,3.51亿,8474.02万,False,2268.10万,5.01亿,9.63亿,False,False,4287.25万,10.06亿,-5.05亿,,False,False,42.65亿,3218.50万,42.97亿,64.57亿,12.82亿,4.81亿,8097.80万,78.20亿,-35.22亿,-2927.02万,-33.60亿,43.42亿,9.82亿,,,-11.27亿,5130.65万,2.57亿,8596.65万,86.37万,1594.66万,5815.45万,6.44亿,13.37亿,-1.48亿,-2.90亿,3.89亿,6619.17万,2.46亿,-8.90亿,False,6.96亿,,,9.82亿,43.42亿,-33.60亿
2020-09-30,,-30.79亿,6.65亿,-5.28亿,-32.53亿,12.63亿,,,28.04亿,2.17亿,4670.72万,30.68亿,12.69亿,3.69亿,6.26亿,1.38亿,24.03亿,6.65亿,,4211.05万,1.98亿,6027.21万,False,2268.10万,3.23亿,8.34亿,False,False,1753.12万,8.51亿,-5.28亿,,False,False,38.26亿,3218.50万,38.58亿,62.60亿,7.66亿,3.32亿,8547.80万,71.11亿,-32.53亿,3664.74万,-30.79亿,43.42亿,12.63亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2020-06-30,,-25.01亿,1.38亿,-3.50亿,-23.37亿,18.41亿,,,19.72亿,1.17亿,2272.17万,21.13亿,10.39亿,2.55亿,5.78亿,1.02亿,19.74亿,1.38亿,,4211.05万,1.95亿,2378.93万,False,2268.10万,2.84亿,6.17亿,False,False,1689.14万,6.34亿,-3.50亿,,False,False,28.59亿,3089.02万,28.90亿,48.82亿,3.40亿,False,547.80万,52.27亿,-23.37亿,4812.23万,-25.01亿,43.42亿,18.41亿,,,-3.10亿,-505.72万,1.40亿,4312.36万,43.19万,201.75万,507.33万,-1432.85万,10.41亿,-1.24亿,1904.49万,6808.22万,217.45万,-1.42亿,-5.87亿,False,1.38亿,,,18.41亿,43.42亿,-25.01亿
2020-03-31,,-31.33亿,1292.81万,-2.82亿,-27.80亿,12.09亿,,,9.24亿,6411.96万,977.02万,9.98亿,5.26亿,1.22亿,2.95亿,4169.69万,9.85亿,1292.81万,,1000.00万,5928.76万,33.50万,False,False,6962.26万,3.49亿,False,False,294.58万,3.51亿,-2.82亿,,False,False,13.12亿,3089.02万,13.43亿,39.42亿,1.79亿,False,97.80万,41.23亿,-27.80亿,-8405.92万,-31.33亿,43.42亿,12.09亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2019-12-31,,30.39亿,23.55亿,-33.62亿,40.30亿,43.42亿,,,55.21亿,4.62亿,1.39亿,61.22亿,18.23亿,4.95亿,12.77亿,1.72亿,37.67亿,23.55亿,,13.70亿,5.55亿,9.57万,False,488.16万,19.30亿,37.35亿,13.84亿,False,1.73亿,52.93亿,-33.62亿,,29.08亿,False,65.63亿,1.82亿,96.53亿,36.80亿,17.97亿,3.70亿,1.46亿,56.24亿,40.30亿,1702.58万,30.39亿,13.03亿,43.42亿,,,-54.82亿,53.10亿,2.36亿,9648.30万,False,2843.19万,6.08万,-2.47亿,20.37亿,-3.37亿,-2.85亿,1.98亿,-3.56亿,5.94亿,5.63亿,False,23.55亿,,,43.42亿,13.03亿,30.39亿
2019-09-30,,-1.73亿,13.84亿,-26.78亿,11.03亿,11.30亿,,,44.11亿,3.57亿,1.98亿,49.66亿,21.16亿,3.40亿,10.07亿,1.20亿,35.82亿,13.84亿,,12.67亿,4.70亿,4.71万,False,487.96万,17.41亿,29.61亿,12.92亿,False,1.67亿,44.19亿,-26.78亿,,False,False,49.06亿,2.18亿,51.25亿,20.69亿,17.24亿,3.36亿,2.28亿,40.21亿,11.03亿,1806.25万,-1.73亿,13.03亿,11.30亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
