SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010999,经营溢利,9571759000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004011200,利息收入,1896310000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004011201,融资成本,-433694000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004011999,除税前溢利,11901763000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004012001,税项,2658882000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004012002,持续经营业务税后利润,9242881000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004012999,除税后溢利,9242881000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004025001,少数股东损益,-37182000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004025002,股东应占溢利,9280063000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004027002,每股基本盈利,0.37
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004027003,每股摊薄盈利,0.36
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004030997,其他全面收益其他项目,369849000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004030999,其他全面收益,369849000.0
