日期,开盘,收盘,最高,最低,成交量,成交额,trend_sma_20,trend_sma_50,trend_ema_12,trend_ema_26,trend_macd,trend_macd_signal,trend_macd_hist,momentum_rsi_14,momentum_stoch_k,momentum_stoch_d,momentum_stoch_j,volatility_bbands_upper,volatility_bbands_middle,volatility_bbands_lower,volatility_atr_14,volume_obv,volume_ad,volume_vwap
2024-07-30,16.7,16.32,16.8,16.22,75799866,1243050080.0,16.610999999999976,17.381600000000002,16.60353785769717,16.815394489762088,-0.21185663206491867,-0.23192765043147676,0.020071018366558085,43.92527290560605,31.24098124098134,28.191438191438284,37.340067340067456,17.166910064670034,16.610999999999976,16.055089935329917,0.5693823207724875,6937614327.0,-1713576202.8248582,17.027803946118816
2024-07-31,16.4,16.84,17.06,16.26,93621817,1573048160.0,16.607999999999976,17.320800000000002,16.63991664882068,16.817217120150083,-0.17730047132940285,-0.22100221461106198,0.04370174328165913,50.11299166207955,41.80375180375187,34.348244348244435,56.71476671476674,17.15825812125017,16.607999999999976,16.05774187874978,0.5858550121458811,7031236144.0,-1671446385.174858,17.027642954082275
2024-08-01,16.78,16.68,16.9,16.5,50657487,844234224.0,16.599999999999977,17.2684,16.646083318232883,16.807052889027855,-0.16096957079497187,-0.20899568584784395,0.048026115052872076,48.34525104992406,37.37373737373741,36.80615680615687,38.5088985088985,17.141109970340143,16.599999999999977,16.05889002965981,0.5725796541354609,6980578657.0,-1676512133.874858,17.02754836897277
2024-08-02,16.36,16.08,16.38,15.86,132911168,2139455632.0,16.572999999999976,17.2012,16.558993576966284,16.753197119470236,-0.19420354250395278,-0.2060372571790657,0.011833714675112933,42.31690642827976,36.96458253420281,38.714023903897356,33.46569979481373,17.15941623442863,16.572999999999976,15.986583765571323,0.5902525359829279,6847667489.0,-1696960005.8748584,17.026865286241268
2024-08-05,15.74,15.86,16.06,15.36,137905794,2166645024.0,16.542999999999978,17.1396,16.451456103586857,16.68703436987985,-0.23557826629299328,-0.21194545900185122,-0.02363280729114206,40.33108465739259,26.79558486520517,33.71130159104845,12.964151413518607,17.205875553932316,16.542999999999978,15.88012444606764,0.5995202119841474,6709761695.0,-1637857522.732001,17.025890999453264
2024-08-06,16.0,15.82,16.12,15.64,74328521,1177782496.0,16.513999999999978,17.090000000000003,16.35430901072734,16.622809601740602,-0.26850059101326096,-0.22325648540413318,-0.04524410560912778,39.963873451767,20.025965595585944,27.928710998331297,4.220474790095238,17.24645887256627,16.513999999999978,15.78154112743369,0.5909830539852798,6635433174.0,-1656439652.9820013,17.02540793250348
2024-08-07,15.78,15.9,16.08,15.76,51826337,825010368.0,16.50299999999998,17.0392,16.284415316769287,16.569268149759818,-0.28485283299053066,-0.23557575492141267,-0.04927707806911799,41.118573086602,24.03846153846167,23.620003999750917,24.875376615883177,17.264816250811847,16.50299999999998,15.741183749188108,0.5716271215577597,6687259511.0,-1662917945.1070008,17.025086749265892
2024-08-08,15.74,15.84,16.04,15.58,57560855,910908800.0,16.460999999999977,16.9932,16.21604372957401,16.515248286814646,-0.29920455724063544,-0.24830151538525722,-0.05090304185537822,40.48958041264642,23.717948717948858,22.59412528399881,25.965595585848952,17.270293519065493,16.460999999999977,15.651706480934461,0.5636537557322054,6629698656.0,-1655410007.498305,17.024700315830234
2024-08-09,16.12,16.4,16.52,16.02,104527148,1709401168.0,16.438999999999975,16.965600000000002,16.24434469425493,16.50671137668023,-0.2623666824252986,-0.2511145487932655,-0.01125213363203309,48.42022449218541,33.01282051282062,26.923076923077037,45.192307692307786,17.229592183114317,16.438999999999975,15.648407816885634,0.5719642017513336,6734225804.0,-1601055890.5383055,17.024286316983947
2024-08-12,16.38,16.46,16.64,16.32,49506251,815738192.0,16.438999999999975,16.940800000000003,16.277522433600325,16.503251274703917,-0.22572884110359226,-0.24603740725533085,0.020308566151738594,49.2013406202874,45.43177129384036,34.054180174869934,68.18695353178121,17.229592183114317,16.438999999999975,15.648407816885634,0.5539667587690954,6783732055.0,-1607244171.9133053,17.024134496205495
2024-08-13,16.52,16.9,16.96,16.44,89113360,1496324480.0,16.466999999999977,16.9292,16.37328821304643,16.532640069170295,-0.15935185612386604,-0.22870029702903788,0.06934844090517184,54.62775031781635,67.24137931034488,48.561990372335266,104.60015718636411,17.280906628552163,16.466999999999977,15.65309337144779,0.55154056171416,6872845415.0,-1538695433.4517677,17.02400685024941
2024-08-14,16.98,16.86,16.98,16.74,42244264,712313920.0,16.470999999999975,16.9084,16.448166949500823,16.55688895293546,-0.1087220034346359,-0.20470463831015748,0.09598263487552158,54.06236133926553,79.31034482758626,63.99449847725716,109.94203752824446,17.291777680009293,16.470999999999975,15.650222319990657,0.529287664448863,6830601151.0,-1538695433.4517677,17.023968314043938
2024-08-15,16.68,17.22,17.3,16.6,94551112,1619370464.0,16.489999999999974,16.8972,16.566910495731467,16.606008289755056,-0.03909779402358993,-0.17158326945284397,0.13248547542925404,58.250424996708986,90.19631077931827,78.91601163908312,112.75690905978857,17.36017239671318,16.489999999999974,15.619827603286769,0.5414814027025155,6925152263.0,-1465756004.1946254,17.023976740728045
2024-08-16,17.24,17.32,17.42,17.14,71246541,1233050032.0,16.529999999999976,16.8896,16.682770419465086,16.658896564588016,0.0238738548770705,-0.13249184458686109,0.15636569946393158,59.3588163708264,92.4096054264931,87.30542034446586,102.61797559054759,17.47254973343658,16.529999999999976,15.587450266563373,0.522804159652336,6996398804.0,-1445399849.6231973,17.02408338322171
2024-08-19,17.5,17.62,18.04,17.48,123269250,2190095536.0,16.549999999999976,16.882800000000003,16.82695958570123,16.73008941165557,0.09687017404565879,-0.08661944086035711,0.1834896149060159,62.569330677832745,91.78342597890351,91.4631140615716,92.42404981356734,17.564494948238526,16.549999999999976,15.535505051761426,0.5368895768200261,7119668054.0,-1507034474.6231968,17.024555199589543
