报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2023-03-31,,84.54亿,114.49亿,11.61亿,48.75亿,48.36亿,,114.49亿,114.49亿,11.61亿,11.68亿,2301.86万,791.03万,1.12亿,781.49万,-8134.17万,9583.81万,7064.62万,False,-7720.10万,False,14.12亿,14.12亿,1.17万,5551.49万,117.56亿,225.34万,False,200.08万,False,117.56亿,33.02亿,84.54亿,84.54亿,48.75亿,35.79亿,48.36亿,,2.97,2.97,-5.93亿,-3.93亿,78.61亿,44.83亿,33.78亿
2022-12-31,,311.08亿,404.49亿,75.15亿,241.25亿,230.59亿,,404.49亿,404.49亿,75.15亿,60.17亿,2.90亿,2903.44万,3.77亿,2670.30万,6.75亿,10.83亿,5111.20万,188.10万,9780.85万,-9.01亿,78.46亿,58.95亿,False,3202.51万,399.11亿,336.67万,False,1358.87万,False,399.01亿,87.93亿,311.08亿,311.08亿,241.25亿,69.84亿,230.59亿,,15.52,15.52,7.41亿,6.34亿,318.50亿,247.58亿,70.92亿
2022-09-30,,195.55亿,246.46亿,45.43亿,159.81亿,149.20亿,,246.46亿,246.46亿,45.43亿,35.65亿,1.80亿,1930.16万,2.44亿,1835.82万,4.85亿,9.86亿,2141.73万,188.10万,2962.54万,-8.99亿,59.65亿,40.13亿,False,357.30万,251.72亿,2393.25万,False,1007.67万,False,251.86亿,56.31亿,195.55亿,195.55亿,159.81亿,35.73亿,149.20亿,,10.48,10.48,13.80亿,13.15亿,209.34亿,172.96亿,36.38亿
2022-06-30,,120.05亿,142.96亿,31.86亿,103.28亿,92.81亿,,142.96亿,142.96亿,31.86亿,22.50亿,1.26亿,1208.27万,1.72亿,1150.76万,5.71亿,5.97亿,530.04万,False,4210.69万,-9.01亿,44.76亿,25.24亿,False,209.44万,146.87亿,209.83万,False,358.97万,False,146.86亿,26.80亿,120.05亿,120.05亿,103.28亿,16.78亿,92.81亿,,6.99,6.99,1.49亿,1.27亿,121.55亿,104.55亿,17.00亿
2022-03-31,,39.36亿,52.57亿,12.14亿,33.28亿,28.34亿,,52.57亿,52.57亿,12.14亿,7.74亿,4247.49万,581.43万,1.37亿,568.17万,2.43亿,2.82亿,167.32万,False,600.13万,-5.86亿,15.93亿,4.99亿,False,110.79万,50.52亿,41.92万,False,141.73万,False,50.51亿,11.15亿,39.36亿,39.36亿,33.28亿,6.08亿,28.34亿,,2.25,2.25,6.43亿,4.66亿,45.78亿,37.94亿,7.84亿
2021-12-31,,25.90亿,76.63亿,52.20亿,20.79亿,13.34亿,,76.63亿,76.63亿,52.20亿,29.14亿,7089.11万,2048.80万,4.54亿,1882.64万,17.31亿,14.68亿,338.67万,False,1038.16万,7701.75万,14.61亿,7.53亿,-24.69万,735.34万,39.89亿,1439.88万,False,3986.30万,False,39.64亿,13.74亿,25.90亿,25.90亿,20.79亿,5.11亿,13.34亿,,1.41,1.41,-4.49亿,-4284.93万,21.41亿,20.36亿,1.05亿
2021-09-30,,6.97亿,38.73亿,36.99亿,5.30亿,-1.22亿,,38.73亿,38.73亿,36.99亿,18.09亿,2326.48万,1131.29万,3.12亿,1485.97万,15.19亿,11.59亿,223.44万,False,992.72万,-6155.24万,10.13亿,3.15亿,135.22万,629.91万,11.33亿,2335.96万,False,1183.13万,False,11.45亿,4.47亿,6.97亿,6.97亿,5.30亿,1.67亿,-1.22亿,,0.36,0.36,-8987.50万,1.28亿,6.07亿,6.58亿,-5040.75万
2021-06-30,,2.47亿,23.51亿,21.66亿,8579.75万,1934.78万,,23.51亿,23.51亿,21.66亿,11.48亿,1286.04万,910.96万,1.92亿,774.90万,7.95亿,6.61亿,161.24万,False,150.08万,1.14亿,1.50亿,1.81亿,False,318.63万,4.53亿,1346.63万,False,574.48万,False,4.60亿,2.14亿,2.47亿,2.47亿,8579.75万,1.61亿,1934.78万,,0.06,0.06,-2.01亿,-1.26亿,4576.24万,-4016.08万,8592.32万
2021-03-31,,-1.82亿,9.04亿,9.98亿,-2.48亿,-1.59亿,,9.04亿,9.04亿,9.98亿,4.92亿,389.71万,424.17万,8964.47万,549.17万,4.02亿,3.45亿,88.13万,False,-19.34万,-1.27亿,6612.44万,6612.44万,103.12万,102.47万,-1.52亿,977.60万,False,173.87万,False,-1.44亿,3771.14万,-1.82亿,-1.82亿,-2.48亿,6594.57万,-1.59亿,,-0.17,-0.17,-2472.10万,-1689.56万,-2.07亿,-2.65亿,5812.03万
2020-12-31,,-11.27亿,32.39亿,37.53亿,-18.34亿,-12.94亿,,32.39亿,32.39亿,37.53亿,18.95亿,2702.76万,2051.64万,4.05亿,2426.89万,13.30亿,18.20亿,707.02万,5490.37万,-359.72万,-6.44亿,1.48亿,1.61亿,-1595.30万,375.66万,-10.22亿,5068.80万,False,8250.05万,False,-10.54亿,7324.43万,-11.27亿,-11.27亿,-18.34亿,7.06亿,-12.94亿,,-1.24,-1.24,1.28亿,7264.06万,-10.00亿,-17.61亿,7.61亿
2020-09-30,,-5.72亿,24.27亿,29.14亿,-11.03亿,-9.74亿,,24.27亿,24.27亿,29.14亿,13.55亿,1223.15万,1451.90万,2.33亿,1822.32万,12.86亿,13.98亿,580.03万,False,-449.72万,-1.78亿,1.82亿,1.76亿,-1009.35万,332.26万,-4.90亿,3390.97万,False,795.97万,False,-4.64亿,1.08亿,-5.72亿,-5.72亿,-11.03亿,5.31亿,-9.74亿,,-0.75,-0.75,-2134.17万,-991.44万,-5.93亿,-11.13亿,5.20亿
2020-06-30,,-3.10亿,18.79亿,21.58亿,-6.97亿,-7.25亿,,18.79亿,18.79亿,21.58亿,9.42亿,591.67万,964.73万,1.56亿,1217.60万,10.38亿,9.85亿,570.56万,False,-505.72万,1432.85万,1.24亿,1.18亿,-201.75万,238.18万,-1.41亿,1723.59万,False,610.03万,False,-1.29亿,1.81亿,-3.10亿,-3.10亿,-6.97亿,3.87亿,-7.25亿,,-0.47,-0.47,3934.36万,5082.33万,-2.71亿,-6.46亿,3.75亿
2020-03-31,,-3.78亿,9.68亿,15.66亿,-5.00亿,-6.47亿,,9.68亿,9.68亿,15.66亿,4.54亿,339.30万,844.66万,9190.34万,568.34万,10.07亿,5.06亿,576.61万,False,-444.52万,1.14亿,1.15亿,9067.64万,-21.76万,90.76万,-3.68亿,208.07万,False,76.64万,False,-3.67亿,1151.40万,-3.78亿,-3.78亿,-5.00亿,1.22亿,-6.47亿,,-0.34,-0.34,-2.67亿,-3.89亿,-6.46亿,-8.90亿,2.44亿
2019-12-31,,-54.82亿,48.41亿,99.80亿,-59.83亿,-62.19亿,,48.41亿,48.41亿,99.80亿,21.03亿,2500.81万,4397.96万,4.22亿,4836.25万,20.28亿,20.45亿,895.94万,53.10亿,55.99万,2.47亿,3.37亿,3.33亿,-235.78万,1977.74万,-45.38亿,9796.78万,False,4004.31万,False,-44.80亿,10.02亿,-54.82亿,-54.82亿,-59.83亿,5.01亿,-62.19亿,,-5.24,-5.24,9574.16万,8090.51万,-53.87亿,-59.02亿,5.16亿
2019-09-30,,6.20亿,37.97亿,35.12亿,1.39亿,1550.46万,,37.97亿,37.97亿,35.12亿,15.74亿,1345.79万,3082.75万,2.12亿,3552.94万,16.50亿,15.61亿,448.15万,False,-292.07万,1.08亿,3.09亿,3.07亿,-257.05万,250.73万,7.02亿,9618.40万,False,753.70万,False,7.91亿,1.71亿,6.20亿,6.20亿,1.39亿,4.80亿,1550.46万,,0.10,0.10,4350.33万,5990.56万,6.63亿,1.99亿,4.64亿
2019-06-30,,5.32亿,25.90亿,22.06亿,1.93亿,1.09亿,,25.90亿,25.90亿,22.06亿,10.08亿,922.09万,2001.19万,1.34亿,2522.35万,10.10亿,10.07亿,300.62万,False,-7.90万,118.09万,2.33亿,2.33亿,-66.23万,161.22万,6.18亿,9231.81万,False,753.25万,False,7.03亿,1.71亿,5.32亿,5.32亿,1.93亿,3.38亿,1.09亿,,0.14,0.14,-522.06万,162.98万,5.27亿,1.95亿,3.32亿
2019-03-31,,2.88亿,13.37亿,11.26亿,1.11亿,8213.29万,,13.37亿,13.37亿,11.26亿,5.21亿,494.72万,990.66万,6431.78万,1236.53万,5.10亿,4.97亿,123.76万,False,395.92万,-1376.17万,1.39亿,1.40亿,-1.17万,78.94万,3.38亿,5871.85万,False,493.86万,False,3.91亿,1.03亿,2.88亿,2.88亿,1.11亿,1.77亿,8213.29万,,0.08,0.08,-1.32亿,-1.09亿,1.56亿,261.42万,1.53亿
2018-12-31,,28.04亿,62.44亿,31.79亿,22.00亿,18.81亿,,62.44亿,62.44亿,31.79亿,20.23亿,2.09亿,4369.58万,3.69亿,4904.58万,4.71亿,4.15亿,6265.49万,1383.10万,False,-876.23万,5.39亿,3665.58万,-1300.16万,339.32万,35.86亿,6495.78万,False,1693.28万,False,36.34亿,8.29亿,28.04亿,28.04亿,22.00亿,6.04亿,18.81亿,,1.93,1.92,-10.59亿,-9.56亿,17.45亿,12.44亿,5.01亿
2018-09-30,,21.04亿,47.59亿,19.93亿,16.89亿,16.43亿,,47.59亿,47.59亿,19.93亿,14.22亿,3869.30万,2957.78万,2.14亿,2952.20万,2.49亿,2.01亿,4381.77万,1030.13万,False,-1690.22万,5505.46万,-1167.77万,-1206.69万,228.08万,27.94亿,5893.20万,False,1395.62万,False,28.39亿,7.35亿,21.04亿,21.04亿,16.89亿,4.15亿,16.43亿,,1.48,1.48,-4.03亿,-3.54亿,17.01亿,13.35亿,3.65亿
2018-06-30,,15.60亿,32.89亿,12.27亿,13.09亿,12.86亿,,32.89亿,32.89亿,12.27亿,9.03亿,3472.81万,1822.03万,1.29亿,648.82万,1.32亿,1.04亿,3611.66万,307.60万,False,-1686.23万,3003.03万,-564.12万,-269.60万,149.08万,20.74亿,3130.02万,False,960.41万,False,20.96亿,5.36亿,15.60亿,15.60亿,13.09亿,2.51亿,12.86亿,,1.15,1.15,-5.13亿,-4.33亿,10.47亿,8.76亿,1.70亿
2018-03-31,,7.95亿,16.69亿,5.62亿,6.60亿,6.93亿,,16.69亿,16.69亿,5.62亿,4.39亿,1808.92万,827.08万,5100.71万,350.87万,3873.26万,6069.41万,2258.81万,306.13万,False,-4079.24万,561.37万,-512.87万,-290.10万,71.44万,10.70亿,34.41万,False,837.79万,False,10.61亿,2.67亿,7.95亿,7.95亿,6.60亿,1.34亿,6.93亿,,0.58,0.58,-5.89亿,-5.05亿,2.06亿,1.55亿,5058.23万
2017-12-31,,26.12亿,54.70亿,20.49亿,21.45亿,21.43亿,,54.70亿,54.70亿,20.49亿,16.33亿,5626.87万,3827.16万,2.34亿,2400.82万,5531.12万,1.27亿,3218.45万,710.55万,False,-653.91万,2662.98万,2044.94万,-1984.50万,449.39万,34.26亿,4999.05万,False,2428.97万,False,34.52亿,8.40亿,26.12亿,26.12亿,21.45亿,4.67亿,21.43亿,,1.94,1.92,8.06亿,7.84亿,34.18亿,29.29亿,4.89亿
2017-09-30,,18.67亿,39.60亿,14.66亿,15.18亿,15.61亿,,39.60亿,39.60亿,14.66亿,11.97亿,3956.61万,2736.78万,1.61亿,863.23万,3117.02万,9688.56万,2275.47万,93.02万,False,-4603.85万,3492.95万,463.90万,-341.84万,302.42万,24.83亿,2206.53万,False,2920.75万,False,24.76亿,6.09亿,18.67亿,18.67亿,15.18亿,3.49亿,15.61亿,,1.37,1.36,8.25亿,7.72亿,26.93亿,22.90亿,4.02亿
2017-06-30,,11.44亿,24.15亿,9.05亿,9.24亿,9.28亿,,24.15亿,24.15亿,9.05亿,7.57亿,2264.48万,1690.28万,1.00亿,False,723.11万,False,False,80.07万,False,-1911.63万,2758.21万,-44.40万,-13.91万,200.33万,15.20亿,2194.21万,False,1625.61万,False,15.26亿,3.82亿,11.44亿,11.44亿,9.24亿,2.20亿,9.28亿,,0.83,0.83,2.13亿,1.63亿,13.57亿,10.87亿,2.70亿
2017-03-31,,5.02亿,10.64亿,3.85亿,4.06亿,4.03亿,,10.64亿,10.64亿,3.85亿,3.32亿,1115.32万,687.98万,4375.42万,False,-896.56万,False,False,39.82万,False,-694.79万,266.04万,-261.18万,False,False,6.74亿,349.12万,False,53.05万,False,6.77亿,1.76亿,5.02亿,5.02亿,4.06亿,9576.56万,4.03亿,,0.37,0.37,3.10亿,2.42亿,8.11亿,6.48亿,1.63亿
2016-12-31,,17.87亿,39.05亿,17.62亿,15.12亿,17.50亿,,39.05亿,39.05亿,17.62亿,11.23亿,4363.45万,3588.93万,1.98亿,False,9551.10万,False,False,2.66亿,False,218.18万,7131.58万,805.39万,-896.97万,False,22.08亿,1646.85万,False,6537.17万,False,21.59亿,3.72亿,17.87亿,17.87亿,15.12亿,2.75亿,17.50亿,,1.38,1.36,1.01亿,2475.43万,18.88亿,15.37亿,3.51亿
2016-09-30,,13.92亿,27.70亿,9.88亿,12.03亿,12.08亿,,27.70亿,27.70亿,9.88亿,7.94亿,1811.23万,2277.79万,1.30亿,False,1824.78万,False,False,569.48万,False,432.71万,1872.45万,970.47万,False,False,18.05亿,1070.07万,False,364.37万,235.25万,18.12亿,4.20亿,13.92亿,False,12.03亿,1.89亿,12.08亿,,1.22,1.21,1.80亿,9195.73万,15.72亿,12.95亿,2.76亿
2016-06-30,,8.62亿,17.06亿,5.97亿,7.47亿,7.44亿,,17.06亿,17.06亿,5.97亿,4.71亿,1078.10万,1408.77万,7061.17万,False,2567.10万,False,False,475.02万,False,510.21万,1350.00万,1108.94万,False,False,11.27亿,424.68万,2.71万,393.12万,251.90万,11.27亿,2.66亿,8.62亿,False,7.47亿,1.15亿,7.44亿,,0.76,0.75,1.12亿,5733.85万,9.74亿,8.04亿,1.70亿
2016-03-31,,3.39亿,7.54亿,2.87亿,2.84亿,2.85亿,,7.54亿,7.54亿,2.87亿,2.28亿,425.53万,653.77万,3182.07万,False,1765.54万,False,False,-53.62万,False,-234.14万,469.07万,332.70万,False,False,4.69亿,261.39万,False,21.79万,10.39万,4.71亿,1.32亿,3.39亿,False,2.84亿,5510.21万,2.85亿,,0.29,0.29,1.05亿,5361.39万,4.45亿,3.38亿,1.07亿
2015-12-31,,4.26亿,18.67亿,13.60亿,2.48亿,2.77亿,,18.67亿,18.67亿,13.60亿,9.91亿,687.75万,3044.98万,1.72亿,False,9941.12万,False,False,6078.95万,False,173.48万,583.58万,315.14万,False,False,5.15亿,725.20万,False,870.73万,487.29万,5.13亿,8722.50万,4.26亿,False,2.48亿,1.78亿,2.77亿,,0.25,0.25,-2.89亿,-1.47亿,1.37亿,1.01亿,3593.98万
2015-09-30,,1.74亿,13.07亿,9.67亿,6127.36万,8921.67万,,13.07亿,13.07亿,9.67亿,6.76亿,257.31万,1867.89万,1.13亿,False,1.00亿,False,False,5752.63万,False,False,118.26万,52.22万,False,False,3.41亿,446.69万,False,130.12万,39.72万,3.44亿,1.70亿,1.74亿,False,6127.36万,1.13亿,8921.67万,,0.06,0.06,-4.03亿,-2.05亿,-2.29亿,-1.44亿,-8488.24万
2015-06-30,,1.20亿,7.56亿,5.34亿,4097.67万,4348.06万,,7.56亿,7.56亿,5.34亿,3.98亿,151.77万,1151.98万,8251.08万,False,3955.87万,False,False,153.50万,False,False,108.85万,-59.05万,False,False,2.22亿,316.04万,False,95.10万,22.20万,2.25亿,1.05亿,1.20亿,False,4097.67万,7897.44万,4348.06万,,0.04,0.04,-2.36亿,-1.20亿,-1.16亿,-7891.45万,-3676.96万
2015-03-31,,5259.11万,3.58亿,2.66亿,2977.18万,3691.72万,,3.58亿,3.58亿,2.66亿,2.30亿,70.15万,472.41万,3245.24万,False,-241.38万,False,False,62.47万,False,False,198.85万,False,False,False,9385.48万,215.48万,False,71.96万,6.54万,9529.00万,4269.89万,5259.11万,False,2977.18万,2281.93万,3691.72万,,0.12,0.12,-2.32亿,-1.18亿,-1.79亿,-8832.51万,-9064.64万
2014-12-31,,2.82亿,14.22亿,11.32亿,1.31亿,1.06亿,,14.22亿,14.22亿,11.32亿,9.64亿,171.40万,2116.19万,1.13亿,False,1919.58万,False,False,1278.95万,False,102.78万,241.24万,86.59万,False,False,2.93亿,3533.07万,False,99.72万,6.54万,3.28亿,4626.85万,2.82亿,False,1.31亿,1.51亿,1.06亿,,0.54,0.54,-3.08亿,-1.57亿,-2660.17万,-2692.26万,32.09万
2014-09-30,,6407.75万,9.00亿,7.92亿,2446.78万,-422.27万,,9.00亿,9.00亿,7.92亿,6.73亿,124.65万,1484.80万,7085.25万,False,3363.96万,False,False,-152.23万,False,106.05万,183.95万,45.95万,False,False,1.11亿,485.64万,False,29.19万,2.44万,1.16亿,5166.58万,6407.75万,False,2446.78万,3960.97万,-422.27万,,0.09,0.09,-7406.23万,-3777.18万,-998.48万,-1330.39万,331.92万
2014-06-30,,4874.42万,6.47亿,5.71亿,1741.94万,-870.25万,,6.47亿,6.47亿,5.71亿,4.88亿,122.88万,860.29万,4412.95万,False,3178.02万,False,False,-264.94万,False,81.70万,139.86万,44.04万,False,False,7759.33万,218.61万,False,13.06万,2.44万,7964.87万,3090.45万,4874.42万,False,1741.94万,3132.48万,-870.25万,,0.08,0.08,3.16亿,1.61亿,3.65亿,1.78亿,1.86亿
2014-03-31,,1117.92万,2.77亿,2.52亿,-146.12万,-1786.61万,,2.77亿,2.77亿,2.52亿,2.13亿,43.74万,357.80万,2048.06万,False,1408.40万,False,False,-14.85万,False,81.73万,-3.44万,False,False,False,2634.95万,85.55万,False,2.44万,2.44万,2718.06万,1600.14万,1117.92万,False,-146.12万,1264.04万,-1786.61万,,-0.0079,False,-1279.25万,-652.42万,-161.34万,-798.54万,637.20万
2013-12-31,,-2.94亿,10.68亿,13.57亿,-1.91亿,1409.15万,,10.68亿,10.68亿,13.57亿,8.87亿,301.66万,2012.34万,3.88亿,False,2317.59万,False,False,3552.58万,False,-680.36万,129.88万,89.00万,False,False,-2.94亿,1139.62万,91.54万,31.11万,2.01万,-2.83亿,1079.29万,-2.94亿,False,-1.91亿,-1.03亿,1409.15万,,-1.30,-1.30,-8.57亿,-4.37亿,-11.50亿,-6.28亿,-5.22亿
2013-09-30,,-1.67亿,8.09亿,9.62亿,-6535.58万,37.15万,,8.09亿,8.09亿,9.62亿,6.71亿,208.31万,1334.81万,2.58亿,False,1578.82万,False,False,174.55万,False,-590.05万,58.12万,34.57万,False,False,-1.59亿,576.17万,False,20.70万,False,-1.54亿,1331.22万,-1.67亿,False,-6535.58万,-1.01亿,37.15万,,-0.44,-0.44,-6.45亿,False,-8.11亿,-3.94亿,-4.17亿
2013-06-30,,-1.91亿,4.77亿,6.60亿,-8246.07万,378.70万,,4.77亿,4.77亿,6.60亿,3.85亿,137.95万,880.31万,2.56亿,False,448.69万,False,False,532.16万,False,-339.90万,73.66万,34.57万,False,False,-1.86亿,510.06万,False,15.63万,False,-1.81亿,974.42万,-1.91亿,False,-8246.07万,-1.08亿,378.70万,,-0.56,-0.56,-6.24亿,False,-8.15亿,-4.01亿,-4.14亿
2013-03-31,,203.59万,7345.82万,7274.30万,203.59万,70.42万,,7345.82万,7345.82万,7274.30万,5968.73万,31.25万,127.05万,558.37万,False,602.98万,False,False,-14.09万,False,False,19.04万,19.04万,False,False,90.57万,162.31万,False,5.64万,False,247.24万,43.64万,203.59万,False,203.59万,False,70.42万,,0.0100,0.0100,False,False,203.59万,203.59万,False
2012-12-31,,4173.42万,3.97亿,3.56亿,4173.42万,3554.00万,,3.97亿,3.97亿,3.56亿,3.12亿,157.17万,1086.23万,2912.63万,False,149.62万,False,False,93.38万,False,False,69.37万,69.37万,False,False,4166.98万,820.88万,False,92.15万,48.27万,4895.71万,722.29万,4173.42万,False,4173.42万,False,3554.00万,,0.28,0.28,False,False,4173.42万,4173.42万,False
2012-09-30,,3791.03万,3.07亿,2.70亿,3791.03万,3171.19万,,3.07亿,3.07亿,2.70亿,2.43亿,145.70万,741.87万,1930.37万,False,-170.53万,False,False,20.05万,False,False,28.55万,28.55万,False,False,3738.86万,770.61万,False,41.39万,9.91万,4468.08万,677.05万,3791.03万,False,3791.03万,False,3171.19万,,0.26,0.26,False,False,3791.03万,3791.03万,False
2012-06-30,,2175.69万,2.02亿,1.79亿,2175.69万,1938.39万,,2.02亿,2.02亿,1.79亿,1.65亿,118.15万,424.46万,1069.31万,False,-232.45万,False,False,20.05万,False,False,28.55万,28.55万,False,False,2317.45万,289.19万,False,10.02万,9.91万,2596.63万,420.94万,2175.69万,False,2175.69万,False,1938.39万,,0.15,0.15,False,False,2175.69万,2175.69万,False
2012-03-31,,814.80万,8270.24万,7449.68万,814.80万,705.91万,,8270.24万,8270.24万,7449.68万,6894.37万,44.26万,185.12万,465.98万,False,-171.56万,False,False,31.50万,False,False,False,False,False,False,820.56万,132.79万,False,1100.00,False,953.24万,138.44万,814.80万,False,814.80万,False,705.91万,,0.06,0.06,False,False,814.80万,814.80万,False
2011-12-31,,4022.60万,4.03亿,3.63亿,4022.60万,3351.25万,,4.03亿,4.03亿,3.63亿,3.36亿,111.75万,1066.74万,2004.98万,False,-611.41万,False,False,60.06万,False,False,30.86万,30.74万,False,False,4052.82万,832.26万,False,41.27万,11.06万,4843.81万,821.21万,4022.60万,False,4022.60万,False,3351.25万,,0.27,0.27,False,False,4022.60万,4022.60万,False
