报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其中：应收利息,其他应收款,存货,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,持有至到期投资,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,长期应付款合计,其中：长期应付款,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2017-09-30,,83.33亿,143.23亿,59.90亿,67.25亿,,,28.23亿,4859.37万,14.27亿,11.71亿,2.56亿,6281.12万,5833.96万,1898.03万,2524.32万,4.54亿,3.88亿,28.72亿,52.62亿,,20.38亿,False,5.59亿,False,False,False,15.05亿,15.05亿,False,12.84亿,12.84亿,False,30.56亿,4.16亿,False,2.03亿,False,90.61亿,143.23亿,,14.14亿,9071.57万,5.14亿,5995.46万,4.54亿,8482.33万,False,8759.27万,3.14亿,1.59亿,5515.83万,215.04万,1.02亿,2.29亿,5.03亿,33.96亿,,12.69亿,5.99亿,False,False,False,1.23亿,5.54亿,4609.25万,False,25.95亿,59.90亿,,9.94亿,26.60亿,8093.68万,4779.84万,5977.56万,30.35亿,67.25亿,16.08亿,83.33亿,143.23亿
2017-06-30,,69.88亿,123.98亿,54.10亿,55.14亿,,,22.94亿,4968.54万,16.01亿,12.66亿,3.35亿,6704.35万,6257.10万,1536.72万,4720.37万,4.65亿,1.35亿,23.43亿,46.74亿,,12.34亿,False,5.52亿,False,False,False,14.73亿,14.73亿,False,8.53亿,8.53亿,False,29.78亿,4.16亿,False,2.18亿,False,77.24亿,123.98亿,,12.81亿,6488.52万,4.20亿,7150.84万,3.49亿,1.86亿,False,6783.22万,1.92亿,1.91亿,4430.47万,215.04万,1.45亿,3.75亿,5.04亿,32.83亿,,10.06亿,5.99亿,False,False,False,1.29亿,3.46亿,4398.37万,False,21.27亿,54.10亿,,9.94亿,26.54亿,8147.30万,-5.61亿,5977.56万,24.41亿,55.14亿,14.73亿,69.88亿,123.98亿
2017-03-31,,66.13亿,119.55亿,53.42亿,52.47亿,,,17.17亿,31.53万,14.52亿,13.13亿,1.39亿,5995.83万,5929.29万,141.66万,5787.63万,5.01亿,3.71亿,17.17亿,41.61亿,,13.08亿,False,5.52亿,False,False,False,14.87亿,14.87亿,False,5.80亿,5.80亿,False,29.90亿,4.16亿,False,2.08亿,2.53亿,77.94亿,119.55亿,,13.95亿,334.67万,3.85亿,7869.68万,3.06亿,2.20亿,False,6337.44万,2.77亿,1.10亿,2197.60万,60.95万,8704.85万,311.94万,5.02亿,29.57亿,,11.78亿,5.98亿,False,False,False,1.83亿,3.56亿,5444.59万,1224.28万,23.85亿,53.42亿,,9.94亿,26.47亿,8147.30万,-4.81亿,5977.56万,21.01亿,52.47亿,13.66亿,66.13亿,119.55亿
2016-12-31,,57.95亿,112.06亿,54.11亿,45.91亿,,,15.02亿,391.65万,14.27亿,12.18亿,2.09亿,3998.11万,5777.76万,214.92万,2410.73万,4.71亿,4.12亿,15.06亿,39.14亿,,10.96亿,False,5.56亿,False,False,False,14.80亿,14.80亿,False,3.57亿,3.57亿,False,28.55亿,4.16亿,False,2.78亿,2.54亿,72.92亿,112.06亿,,13.64亿,False,2.99亿,7280.82万,2.26亿,1.52亿,False,7832.41万,3.33亿,1.00亿,1317.83万,60.95万,8655.27万,1.44亿,4.98亿,29.69亿,,13.36亿,5.98亿,False,False,False,1.76亿,2.78亿,4026.46万,1082.21万,24.43亿,54.11亿,,9.94亿,26.41亿,8147.30万,-7.24亿,5977.56万,16.96亿,45.91亿,12.03亿,57.95亿,112.06亿
2016-09-30,,54.67亿,90.98亿,36.31亿,43.39亿,,,11.59亿,739.22万,11.92亿,10.14亿,1.78亿,2432.19万,1631.73万,129.10万,1502.63万,4.18亿,3.27亿,11.66亿,31.45亿,,False,False,5.51亿,False,False,False,15.09亿,15.09亿,False,2.29亿,2.29亿,False,28.94亿,4.16亿,False,1.12亿,2.42亿,59.53亿,90.98亿,,10.96亿,133.04万,2.43亿,7083.71万,1.72亿,9095.64万,False,6830.74万,3.20亿,1.06亿,341.94万,81.27万,1.01亿,1.35亿,False,20.61亿,,11.50亿,False,False,False,False,1.14亿,2.49亿,4516.05万,891.30万,15.70亿,36.31亿,,9.94亿,26.31亿,8147.30万,-6.57亿,3953.39万,14.07亿,43.39亿,11.28亿,54.67亿,90.98亿
2016-06-30,,48.38亿,81.89亿,33.51亿,38.16亿,,,8.81亿,683.68万,8.17亿,7.14亿,1.03亿,2862.24万,1830.26万,124.01万,1706.24万,4.45亿,1.07亿,8.88亿,23.03亿,,False,False,5.52亿,False,False,698.94万,15.36亿,15.36亿,False,1.78亿,1.78亿,False,28.11亿,4.16亿,False,1.47亿,2.38亿,58.86亿,81.89亿,,7.80亿,False,2.50亿,6525.40万,1.85亿,3773.59万,False,6304.84万,2.44亿,9281.51万,301.21万,81.27万,8899.03万,1.37亿,False,16.06亿,,13.42亿,False,False,False,False,1.09亿,2.42亿,4211.46万,732.17万,17.46亿,33.51亿,,9.94亿,26.03亿,8338.30万,-6.91亿,3953.39万,9.51亿,38.16亿,10.22亿,48.38亿,81.89亿
2016-03-31,,43.77亿,78.92亿,35.15亿,34.19亿,,,7.00亿,129.43万,7.41亿,6.68亿,7301.41万,2973.22万,1795.92万,73.24万,1722.68万,3.91亿,9904.82万,7.01亿,19.80亿,,False,False,5.37亿,False,False,709.08万,15.62亿,15.62亿,False,1.79亿,1.79亿,False,28.05亿,4.16亿,False,1.72亿,2.33亿,59.12亿,78.92亿,,8.41亿,190.10万,2.03亿,8288.27万,1.20亿,6302.64万,False,5767.90万,2.76亿,2.43亿,422.14万,1.47亿,9167.66万,6885.99万,False,17.55亿,,13.64亿,False,False,False,False,1.09亿,2.32亿,4617.44万,606.00万,17.60亿,35.15亿,,2.61亿,33.27亿,8419.57万,-6.95亿,3953.39万,5.66亿,34.19亿,9.59亿,43.77亿,78.92亿
2015-12-31,,40.72亿,75.16亿,34.44亿,30.72亿,,,5.76亿,173.48万,6.04亿,5.71亿,3243.40万,1690.47万,1199.77万,195.64万,1004.12万,4.00亿,1.00亿,5.78亿,17.11亿,,False,False,5.28亿,False,False,719.23万,15.68亿,15.68亿,False,1.67亿,1.67亿,False,26.69亿,4.16亿,False,2.19亿,2.32亿,58.06亿,75.16亿,,7.97亿,False,1.96亿,6342.97万,1.33亿,7228.83万,False,6011.67万,2.24亿,2.24亿,545.55万,False,2.19亿,7055.51万,False,16.45亿,,14.57亿,False,False,False,False,1.03亿,1.92亿,4091.78万,434.91万,17.99亿,34.44亿,,2.61亿,33.18亿,8419.57万,-7.49亿,3953.39万,2.82亿,30.72亿,10.00亿,40.72亿,75.16亿
2015-09-30,,37.81亿,73.92亿,36.11亿,28.99亿,,,8.75亿,False,4.65亿,2.03亿,2.63亿,2591.40万,2548.65万,81.87万,2466.77万,4.97亿,1.34亿,8.75亿,20.22亿,,False,False,5.25亿,False,False,729.38万,15.67亿,15.64亿,243.76万,1.59亿,1.59亿,False,25.03亿,4.16亿,False,1.86亿,False,53.70亿,73.92亿,,7.74亿,False,1.45亿,1119.67万,1.34亿,4179.49万,False,5744.46万,2.26亿,9103.19万,578.11万,False,8525.08万,5.15亿,False,18.51亿,,13.91亿,False,False,False,False,9815.63万,2.22亿,4564.06万,False,17.60亿,36.11亿,,2.61亿,33.05亿,False,-8.07亿,3078.69万,1.04亿,28.99亿,8.82亿,37.81亿,73.92亿
2015-06-30,,44.06亿,72.45亿,28.39亿,28.79亿,,,7.70亿,False,3.06亿,1.67亿,1.39亿,2711.40万,1820.76万,76.13万,1744.63万,4.83亿,1.16亿,7.70亿,17.19亿,,False,False,5.32亿,False,False,749.67万,16.34亿,16.32亿,243.76万,1.95亿,1.95亿,False,26.27亿,4.16亿,False,1.10亿,False,55.26亿,72.45亿,,9.26亿,False,1.51亿,False,1.51亿,1200.77万,False,5493.17万,1.64亿,5.66亿,324.30万,False,5.62亿,4.09亿,False,22.82亿,,2.59亿,False,False,False,False,1.03亿,1.50亿,4286.79万,False,5.57亿,28.39亿,,2.59亿,32.24亿,False,-7.21亿,3078.69万,8402.42万,28.79亿,15.27亿,44.06亿,72.45亿
